City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
hermanus,ZA,-34.4187,61.81,86,100,12.68,1635210757
chapais,CA,49.7834,31.6,89,99,4.83,1635210768
avarua,CK,-21.2078,75.25,64,75,12.66,1635210778
klaksvik,FO,62.2266,43.72,74,100,5.82,1635210789
aklavik,CA,68.2191,21.22,97,42,1.12,1635210799
thompson,CA,55.7435,34.95,75,54,8.97,1635210809
richards bay,ZA,-28.783,63.12,96,100,3.29,1635210820
vaini,TO,-21.2,80.76,74,20,11.5,1635210830
ayan,RU,56.45,41.76,64,86,1.72,1635210841
antofagasta,CL,-23.65,58.28,71,0,0.25,1635210786
punta arenas,CL,-53.15,35.71,80,75,3.44,1635210719
barrow,US,71.2906,24.82,86,90,14.97,1635210871
lebu,CL,-37.6167,52.48,93,13,13.82,1635210882
pelym,RU,61.0108,25.27,74,11,8.14,1635210892
rocha,UY,-34.4833,55.63,79,99,3.42,1635210866
fortuna,US,40.5982,59.94,69,90,1.99,1635210923
montesarchio,IT,41.0654,60.84,83,100,5.93,1635210933
shenjiamen,CN,29.9576,66.4,63,9,4.38,1635210944
kruisfontein,ZA,-34.0033,58.89,95,39,5.08,1635210954
touros,BR,-5.1989,79.7,61,100,17.56,1635210965
bredasdorp,ZA,-34.5322,61.29,94,100,7.2,1635210804
lompoc,US,34.6391,61.57,83,40,13.8,1635210985
prince rupert,CA,54.3161,49.69,78,100,6.91,1635210996
kodiak,US,57.79,40.41,90,100,10.09,1635210562
talnakh,RU,69.4865,15.24,96,100,6.11,1635211017
seoul,KR,37.5683,56.64,53,12,0.65,1635210826
bengkulu,ID,-3.8004,77.59,83,100,2.53,1635210820
east london,ZA,-33.0153,63.45,82,100,8.48,1635211048
yellowknife,CA,62.456,43.41,94,100,5.99,1635210823
manokwari,ID,-0.8667,84.34,67,1,8.9,1635211069
udachnyy,RU,66.4167,12.06,96,76,4.7,1635211079
georgetown,MY,5.4112,80.89,87,20,2.3,1635210557
leningradskiy,RU,69.3833,9.73,94,100,16.28,1635210820
jumla,NP,29.2747,42.98,77,1,4.16,1635210906
drumnadrochit,GB,57.3344,46.09,89,100,7.78,1635211130
san patricio,US,28.017,81.01,73,85,10.6,1635211141
dongsheng,CN,39.8161,41.11,37,0,12.46,1635211151
cockburn town,TC,21.4612,82.89,78,48,16.8,1635211162
puro,PH,12.4841,82.67,77,100,9.35,1635211172
ostrovnoy,RU,68.0531,22.06,88,73,5.1,1635211193
port alfred,ZA,-33.5906,62.01,87,10,14.34,1635211203
kribi,CM,2.95,75.74,94,100,7.0,1635211214
surgut,RU,61.25,32.18,100,75,4.47,1635211176
chokurdakh,RU,70.6333,-21.51,100,29,1.88,1635211234
maragogi,BR,-9.0122,77.5,75,100,10.54,1635210960
nikolskoye,RU,59.7035,44.4,89,100,9.48,1635211255
nouadhibou,MR,20.930999999999997,71.58,68,100,18.41,1635211276
yei,SS,4.095,66.18,90,89,3.33,1635211286
kichera,RU,55.9375,35.01,97,100,10.56,1635211296
galesong,ID,-5.3166,87.82,66,81,1.48,1635211307
urucui,BR,-7.2294,81.39,64,98,0.36,1635211317
rawlins,US,41.7911,60.69,32,1,16.11,1635211328
menongue,AO,-14.6585,66.58,79,93,4.27,1635211338
lamu,KE,-2.2717,77.22,91,100,6.22,1635211348
iquitos,PE,-3.7481,77.04,94,90,13.8,1635211359
loa janan,ID,-0.583,83.53,73,80,2.39,1635211369
srandakan,ID,-7.9386,80.98,67,100,6.85,1635211380
linxia,CN,35.6003,37.58,98,100,3.53,1635211390
bubaque,GW,11.2833,82.29,74,100,4.61,1635211400
cidreira,BR,-30.1811,64.8,80,0,9.31,1635211391
puerto madryn,AR,-42.7692,63.57,36,93,10.42,1635211421
vidim,RU,56.4088,41.52,74,86,14.45,1635211431
clejani,RO,44.3197,44.11,66,0,6.58,1635211442
saldanha,ZA,-33.0117,61.97,68,100,10.18,1635211452
longyearbyen,SJ,78.2186,17.44,62,0,11.5,1635211463
kapaa,US,22.0752,84.18,80,40,1.99,1635211473
iwanai,JP,42.9744,59.43,64,100,2.44,1635211483
cherskiy,RU,68.75,-7.38,92,100,2.04,1635211494
arlit,NE,18.7369,82.53,12,0,6.04,1635211505
knokke-heist,BE,51.3333,53.01,90,2,5.01,1635211393
son la,VN,21.3167,64.67,83,27,2.53,1635211525
muros,ES,42.7762,59.85,96,0,6.38,1635211536
coquimbo,CL,-29.9533,56.93,86,20,1.32,1635211304
tuatapere,NZ,-46.1333,60.46,80,98,4.72,1635211577
victoria,HK,22.2855,77.32,75,100,1.01,1635211485
cutro,IT,39.0353,60.06,91,100,10.76,1635211597
xinqing,CN,48.2333,47.1,69,96,4.14,1635211608
westlock,CA,54.1502,43.97,85,5,5.39,1635211618
llanes,ES,43.4198,52.27,77,4,3.2,1635211628
goderich,CA,43.7501,43.92,87,100,14.97,1635211639
anchorage,US,61.2181,40.78,76,1,5.01,1635211547
gimli,CA,50.6336,46.42,66,100,24.16,1635211659
malaryta,BY,51.7905,35.35,65,11,7.54,1635211670
tabou,CI,4.423,76.55,85,100,7.2,1635211680
georgiyevka,KZ,43.0369,33.84,93,0,2.24,1635211691
ikongo,MG,-21.8833,66.42,94,22,1.79,1635211701
batemans bay,AU,-35.7167,71.2,47,4,8.01,1635211710
izhma,RU,65.0083,18.32,96,44,3.96,1635211722
batagay,RU,67.6333,3.65,96,75,2.15,1635211630
vung tau,VN,10.345999999999998,79.77,84,100,1.54,1635211553
kloulklubed,PW,7.0419,86.5,59,8,7.54,1635211699
bayanday,RU,53.0661,35.74,61,100,5.99,1635211763
novoagansk,RU,61.9449,29.53,95,100,11.5,1635211773
caruray,PH,10.3094,85.19,70,100,4.43,1635211784
aracati,BR,-4.5617,79.97,75,6,15.9,1635211794
pangnirtung,CA,66.1451,22.44,59,26,2.26,1635211804
dunedin,NZ,-45.8742,58.8,72,96,7.0,1635211815
hofn,IS,64.2539,40.37,72,82,3.89,1635211826
luanda,AO,-8.8368,75.2,88,75,3.44,1635211836
apatity,RU,67.5641,27.43,95,100,7.74,1635211846
chateaubelair,VC,13.2833,80.29,74,100,17.13,1635211867
kiunga,PG,-6.1219,92.14,54,52,0.11,1635211877
taoudenni,ML,22.6783,84.49,17,100,10.54,1635211888
banda aceh,ID,5.5577,81.63,74,100,4.27,1635211898
narsaq,GL,60.9167,39.42,49,9,4.47,1635211908
biltine,TD,14.5333,79.43,21,74,8.52,1635211919
la palma,US,33.8464,61.92,89,90,9.22,1635211929
bairiki,KI,1.3292,86.0,70,20,13.8,1635211940
pisco,PE,-13.7,61.02,82,0,13.8,1635211950
axim,GH,4.8699,77.34,89,100,8.25,1635211961
marshall,US,34.3834,62.96,76,40,12.66,1635211971
linqing,CN,36.8456,60.53,63,100,7.92,1635211981
bethel,US,41.3712,66.99,92,90,1.01,1635211920
upernavik,GL,72.7868,15.13,58,11,6.35,1635212002
srivardhan,IN,18.0333,74.77,77,8,4.9,1635212013
oum hadjer,TD,13.2954,81.54,21,33,8.66,1635212023
shahgarh,IN,24.3167,71.13,57,0,1.45,1635212044
suez,EG,29.9737,64.02,86,0,9.95,1635212054
saint anthony,US,45.0205,47.35,63,1,3.44,1635212075
marawi,PH,7.9986,73.65,65,99,3.74,1635212085
bundaberg,AU,-24.85,79.21,87,75,5.01,1635212096
mar del plata,AR,-38.0023,59.09,81,0,1.01,1635212106
nueva loja,EC,0.0847,72.16,98,80,1.63,1635212116
laukaa,RU,58.7372,36.52,85,100,7.87,1635212127
issia,CI,6.4922,71.11,100,99,2.98,1635212137
palafrugell,ES,41.9174,54.14,91,64,4.52,1635212148
san quintin,MX,30.4833,65.23,74,71,11.16,1635212158
baiyin,CN,36.5583,40.08,58,100,1.32,1635212169
bandeirantes,BR,-23.11,66.78,83,43,4.97,1635212179
khorramshahr,IR,30.4397,67.96,32,0,6.91,1635212189
mahajanga,MG,-15.7167,75.22,69,40,5.75,1635212200
morant bay,JM,17.8815,82.02,80,23,7.94,1635212210
cabedelo,BR,-6.9811,79.47,73,100,13.27,1635212221
saint john,CA,45.2727,43.83,89,75,2.3,1635212111
turayf,SA,31.6725,55.65,44,0,5.75,1635212251
murdochville,CA,48.9583,32.88,79,20,2.04,1635212262
porto santo,PT,33.071999999999996,68.38,73,40,6.91,1635212282
san cristobal,VE,7.7669,69.98,98,51,2.42,1635212293
istisu,AZ,40.9457,41.67,87,98,4.27,1635212303
pacific grove,US,36.6177,60.91,83,1,3.0,1635212314
qaqortoq,GL,60.7167,39.7,49,33,11.61,1635212324
daru,PG,-9.0763,85.08,72,94,12.21,1635212345
salalah,OM,17.0151,73.49,64,0,2.3,1635212366
saskylakh,RU,71.9167,-0.27,97,100,2.24,1635212376
ahipara,NZ,-35.1667,68.97,68,100,6.91,1635212386
yanam,IN,16.7333,81.0,86,33,3.85,1635212397
twentynine palms,US,34.1356,64.26,57,37,8.99,1635212418
jaranwala,PK,31.3333,64.92,49,0,2.71,1635212428
chicama,PE,-7.8447,59.54,78,100,5.99,1635212438
fukue,JP,32.6881,70.16,56,20,6.91,1635212449
cairns,AU,-16.9167,92.95,55,75,9.22,1635212459
atambua,ID,-9.1061,87.39,45,57,3.87,1635212470
carnarvon,AU,-24.8667,66.27,55,75,14.97,1635212490
kirkwall,GB,58.9848,46.96,87,20,10.36,1635212501
mikhaylovka,RU,50.06,27.93,74,7,4.21,1635212511
cabo san lucas,MX,22.8909,81.7,71,1,4.0,1635212406
hutchinson,US,38.0608,54.63,88,1,3.44,1635212325
lodja,CD,-3.4833,68.74,99,100,1.1,1635212542
kaitangata,NZ,-46.2817,56.07,78,100,7.36,1635212552
faanui,PF,-16.4833,73.9,91,100,4.43,1635212563
port blair,IN,11.6667,82.89,77,86,8.86,1635212573
harbin,CN,45.75,48.15,70,100,10.13,1635212336
egvekinot,RU,66.3167,1.63,85,13,5.28,1635212604
bambanglipuro,ID,-7.95,82.26,64,100,7.72,1635212614
ribnitz-damgarten,DE,54.25,52.11,65,100,9.26,1635212625
verkhoyansk,RU,67.5447,1.99,95,79,1.57,1635212635
grindavik,IS,63.8424,37.87,93,75,5.75,1635212646
huarmey,PE,-10.0681,63.59,84,100,8.7,1635212656
matara,LK,5.9485,78.58,85,100,8.5,1635212651
ixtapa,MX,20.7,79.23,93,59,1.99,1635212677
tsabong,BW,-26.0217,65.46,71,0,11.72,1635212687
puerto escondido,MX,15.85,80.89,85,66,4.38,1635212697
pangkalanbuun,ID,-2.6833,87.84,62,82,1.72,1635212708
ilulissat,GL,69.2167,10.42,61,0,4.61,1635212718
coihaique,CL,-45.5752,48.15,81,100,8.05,1635212462
namatanai,PG,-3.6667,86.0,64,66,3.27,1635212739
korla,CN,41.7597,47.57,40,0,2.8,1635212749
sao joao da barra,BR,-21.6403,71.04,87,100,5.66,1635212760
longhua,CN,23.6137,74.71,59,27,2.95,1635212770
bell ville,AR,-32.6259,73.78,31,0,6.11,1635212780
kamaishi,JP,39.2667,52.75,92,100,9.89,1635212791
praia,CV,14.9215,79.34,83,75,16.11,1635212801
roald,NO,62.5833,49.33,87,90,8.05,1635212812
souillac,MU,-20.5167,73.78,83,40,13.8,1635212822
neiafu,TO,-18.65,81.28,65,40,9.22,1635212832
albanel,CA,48.8832,37.38,83,95,3.44,1635212853
chernyshevskiy,RU,63.0128,27.79,92,100,4.36,1635212863
morros,BR,-9.4467,77.63,76,97,3.09,1635212874
freeport,US,40.6576,69.78,83,90,5.99,1635212684
heihe,CN,50.2441,43.38,50,61,6.06,1635212894
mount gambier,AU,-37.8333,64.31,52,100,10.36,1635212905
karaton,ID,-6.3424,89.96,64,100,2.39,1635212925
guaruja,BR,-23.9931,75.16,26,68,1.66,1635212831
gueugnon,FR,46.6036,51.19,99,100,1.12,1635212946
grand gaube,MU,-20.0064,73.8,82,39,4.0,1635212956
bonaventure,CA,48.0457,44.35,87,81,4.61,1635212967
nantucket,US,41.2835,66.31,90,90,11.5,1635212977
halacho,MX,20.4833,84.02,81,99,4.36,1635212988
laguna,US,38.421,60.89,70,1,3.0,1635212998
union city,US,37.5958,60.15,76,0,1.01,1635213008
champerico,GT,14.3,85.35,82,81,3.69,1635213019
vrangel,RU,42.7297,55.9,71,3,3.22,1635213029
gamba,GA,-2.65,75.96,90,100,6.76,1635213039
barahona,DO,18.2085,79.75,80,4,7.07,1635213050
quesnel,CA,52.9999,52.3,54,90,16.11,1635213070
samarai,PG,-10.6167,83.41,72,100,10.31,1635213081
phitsanulok,TH,16.9167,77.11,84,94,1.34,1635213091
mandera,KE,3.9366,78.91,70,9,11.3,1635213102
nereju,RO,45.7167,33.85,69,0,4.83,1635213112
nguru,NG,12.8791,82.51,23,10,5.75,1635213122
te anau,NZ,-45.4167,61.36,78,72,3.65,1635212871
pevek,RU,69.7008,2.01,92,100,3.62,1635213143
nema,RU,57.5067,29.14,86,100,10.98,1635213153
buchanan,LR,5.8808,76.17,90,100,5.28,1635213164
tura,IN,25.5198,72.36,81,0,1.59,1635213174
andover,GB,51.2083,54.39,94,97,4.0,1635213185
nyurba,RU,63.2842,31.98,91,100,7.49,1635213195
guerrero negro,MX,27.9769,66.34,77,6,18.3,1635213205
florence,IT,43.7667,56.57,78,40,2.3,1635213216
jeremie,HT,18.65,80.02,78,12,2.04,1635213226
la primavera,CO,5.4906,77.27,84,85,4.61,1635213237
dikson,RU,73.5069,13.55,84,100,15.39,1635213247
paita,PE,-5.0892,65.84,80,100,12.66,1635213268
tasiilaq,GL,65.6145,30.9,78,100,9.24,1635213278
ola,RU,59.5833,28.15,72,94,1.32,1635213288
carlos antonio lopez,PY,-26.4,60.98,82,0,1.36,1635213299
zheleznodorozhnyy,RU,55.7503,32.36,77,100,10.45,1635213309
flinders,AU,-34.5833,72.81,54,33,7.92,1635213319
hendaye,FR,43.3717,57.96,97,40,4.61,1635213331
atbasar,KZ,51.8,41.79,84,100,17.56,1635213341
kavaratti,IN,10.5669,81.75,74,100,13.24,1635213352
bose,IT,45.4612,49.24,86,75,2.26,1635213362
pendra,IN,22.7667,67.08,64,0,2.19,1635213373
karratha,AU,-20.7377,85.96,31,2,16.33,1635213383
ugoofaaru,MV,5.6667,81.48,79,100,10.6,1635213393
semikarakorsk,RU,47.5194,23.81,61,8,3.87,1635213414
tema,GH,5.667000000000001,79.21,94,0,6.91,1635213424
shambu,ET,9.5667,49.6,66,59,2.95,1635213435
petropavlovsk-kamchatskiy,RU,53.0452,43.39,61,75,4.47,1635213445
tazmalt,DZ,36.3868,58.12,94,81,2.62,1635213456
saint-georges,GD,12.0564,82.08,78,40,18.41,1635213466
yulara,AU,-25.2406,89.44,29,0,13.8,1635213476
katsuura,JP,35.1333,64.51,88,100,24.32,1635213487
mindelo,CV,16.8901,76.55,73,75,18.41,1635213497
merauke,ID,-8.4667,86.63,66,73,9.98,1635213508
asfi,MA,32.2994,66.38,89,73,9.55,1635213518
lasa,IT,46.6166,38.03,48,6,3.2,1635213528
yerbogachen,RU,61.2767,31.91,97,100,8.77,1635213539
itoman,JP,26.1247,78.82,53,20,10.36,1635213549
flagstaff,US,35.1981,56.89,65,25,11.99,1635213559
husavik,IS,66.0449,28.31,78,95,7.47,1635213570
beisfjord,NO,68.3751,39.25,96,100,2.39,1635213580
valparaiso,CL,-33.0393,55.04,87,0,11.5,1635213591
port augusta,AU,-32.5,84.7,10,12,17.47,1635213601
bathsheba,BB,13.2167,81.34,71,95,19.33,1635213612
kamenka,RU,51.3223,27.1,76,0,5.37,1635213393
broome,US,42.2506,63.01,78,100,4.0,1635213461
carutapera,BR,-1.195,79.68,78,7,7.7,1635213643
moose jaw,CA,50.4001,45.28,59,100,16.4,1635213653
montrose,US,38.4166,56.61,40,12,13.18,1635213664
pareora,NZ,-44.4871,57.18,97,100,8.25,1635213675
kabo,CF,7.6994,72.99,88,94,4.05,1635213696
mutoko,ZW,-17.397000000000002,61.38,86,3,5.48,1635213706
lincoln,US,40.8,49.44,80,99,3.0,1635213485
la mana,EC,-0.9333,81.9,82,99,2.77,1635213747
dingli,MT,35.8614,66.36,88,75,16.11,1635213758
half moon bay,US,37.4636,58.8,84,40,0.0,1635213768
paraiso,CR,9.8383,67.42,97,99,0.6,1635213778
anadyr,RU,64.75,1.9,85,20,11.18,1635213789
olafsvik,IS,64.8945,36.79,70,18,8.68,1635213799
luderitz,,-26.6481,55.72,91,4,4.52,1635213810
chivay,PE,-15.6383,48.6,23,0,6.6,1635213820
calvinia,ZA,-31.4707,59.49,32,100,9.42,1635213831
evanston,US,42.0411,52.23,73,100,4.0,1635213678
nokaneng,BW,-19.6667,73.87,55,57,5.03,1635213852
saint-augustin,CA,51.226000000000006,37.44,71,49,8.48,1635213862
hambantota,LK,6.1241,75.54,100,90,3.44,1635213873
scunthorpe,GB,53.57899999999999,49.39,82,98,7.85,1635213883
mineiros,BR,-17.5694,71.24,72,69,1.45,1635213769
jurm,AF,36.8648,45.09,45,99,1.81,1635213903
colesberg,ZA,-30.72,54.1,82,47,8.05,1635213914
antalaha,MG,-14.9003,72.28,84,57,7.67,1635213925
mayskiy,RU,47.6931,22.41,57,2,4.27,1635213935
evensk,RU,61.95,19.13,76,1,3.78,1635213946
vardo,NO,70.3705,36.05,65,100,22.39,1635213919
ikauna,IN,27.55,67.8,78,0,4.94,1635213966
poya,NC,-21.35,80.06,54,28,5.57,1635213977
palana,RU,59.1167,31.23,87,100,20.18,1635213987
faya,SA,18.3851,57.72,74,0,0.74,1635213997
chara,RU,56.9064,29.82,61,79,3.47,1635214008
high level,CA,58.5169,37.76,98,100,3.69,1635214018
vodnyy,RU,63.5046,21.25,95,100,2.15,1635214029
odienne,CI,9.51,71.74,94,56,3.02,1635214039
buta,CD,2.7858,70.0,99,100,1.88,1635214050
arinos,BR,-15.9169,75.31,67,55,2.19,1635214060
mahon,ES,39.8885,59.56,88,0,6.91,1635214071
zvishavane,ZW,-20.3267,59.13,91,100,7.58,1635214081
oranjemund,,-28.55,56.95,91,0,2.37,1635214092
tibati,CM,6.4667,67.21,94,100,1.34,1635214102
yuzhno-kurilsk,RU,44.0306,56.68,78,100,9.24,1635214112
pinhao,BR,-25.6956,55.63,92,62,1.59,1635214123
damavand,IR,35.7178,44.44,45,0,0.81,1635214133
namibe,AO,-15.1961,62.46,78,31,4.63,1635214143
sisimiut,GL,66.9395,16.92,67,0,12.44,1635214154
portland,US,45.5234,53.64,91,90,4.0,1635213333
skourta,GR,38.2127,52.65,59,99,9.22,1635214174
mahebourg,MU,-20.4081,69.26,77,20,17.52,1635214185
isangel,VU,-19.55,80.87,71,41,9.15,1635214195
altay,CN,47.8667,41.49,39,7,7.34,1635214206
tual,ID,-5.6667,83.26,76,65,9.91,1635214216
lakes entrance,AU,-37.8811,60.17,65,26,7.81,1635214227
malabo,GQ,3.75,77.76,89,100,3.78,1635214237
marienburg,PL,54.0359,45.05,78,100,7.83,1635214248
gorey,IE,52.6747,54.72,88,100,14.05,1635214258
piacabucu,BR,-10.4056,79.27,71,100,13.49,1635214268
missungwi,TZ,-2.85,70.81,67,98,3.89,1635214279
sur,OM,22.5667,78.58,68,6,7.45,1635214289
makakilo city,US,21.3469,82.72,56,20,12.66,1635214300
kudat,MY,6.8837,84.07,71,73,7.4,1635214096
doha,QA,25.2867,78.78,50,0,5.75,1635214113
cartagena,CO,10.3997,80.22,89,75,2.3,1635214330
melbu,NO,68.5044,43.32,96,100,6.58,1635214341
isabela,PH,6.7085,85.91,67,94,4.43,1635214351
corinto,GR,37.9407,59.9,66,95,7.87,1635214291
kochki,RU,54.3358,44.56,61,100,13.24,1635214372
honiara,SB,-9.4333,85.78,71,57,7.11,1635214382
yingcheng,CN,30.95,63.32,59,90,2.89,1635214393
jimo,CN,36.3897,63.75,50,100,5.99,1635214403
tigil,RU,57.8,34.36,96,100,13.96,1635214413
mangai,CD,-4.05,67.98,99,97,1.41,1635214424
sao felix do xingu,BR,-6.6447,72.52,95,62,0.81,1635214434
moron,AR,-34.6534,71.96,57,3,5.55,1635214444
port hardy,CA,50.6996,48.38,93,90,2.3,1635214455
hastings,GB,50.8552,52.81,91,26,11.86,1635214255
ternate,ID,0.8,86.02,64,8,0.34,1635214476
praia da vitoria,PT,38.7333,69.76,81,28,18.41,1635214486
marzuq,YE,14.4,67.91,47,32,0.87,1635214496
miramar,US,25.9873,81.01,84,1,9.22,1635214507
buala,SB,-8.145,86.34,65,96,9.55,1635214517
rabo de peixe,PT,37.8,67.51,77,20,8.05,1635214528
semey,KZ,50.4111,32.22,86,0,6.71,1635214475
omboue,GA,-1.5746,75.42,89,100,5.66,1635214548
bogatic,RS,44.8375,48.2,81,0,6.44,1635214559
myitkyina,MM,25.3833,76.37,62,17,1.9,1635214569
erenhot,CN,43.6475,41.76,44,0,6.04,1635214580
akdepe,TM,42.0551,44.6,29,100,6.53,1635214590
oleksandrivka,UA,48.9634,33.98,66,5,6.44,1635214600
shingu,JP,33.7333,70.79,53,0,3.71,1635214611
yar-sale,RU,66.8333,19.76,88,94,4.9,1635214621
norman wells,CA,65.282,23.04,93,90,3.44,1635214624
wairoa,NZ,-39.0333,70.61,41,9,6.2,1635214642
isiro,CD,2.7739,62.78,98,100,1.5,1635214652
victor harbor,AU,-35.5667,82.49,50,100,1.01,1635214663
poquoson,US,37.1224,69.84,88,90,5.75,1635214453
syamzha,RU,60.0158,37.44,97,100,10.98,1635214683
waipawa,NZ,-41.4122,65.03,58,100,6.73,1635214694
bichura,RU,50.5881,42.17,53,20,3.94,1635214704
gboko,NG,7.3179,73.33,94,71,9.6,1635214715
ellensburg,US,46.9965,50.77,71,20,7.0,1635214725
barcelos,PT,41.5388,54.68,81,0,4.47,1635214735
rafai,CF,4.95,69.28,98,100,0.98,1635214746
dingle,PH,10.9995,84.16,75,100,10.13,1635214756
clyde river,CA,70.4692,18.59,79,73,6.78,1635214767
vilyuysk,RU,63.7553,31.71,86,100,7.18,1635214777
maniitsoq,GL,65.4167,30.87,44,0,6.76,1635214797
loveland,US,40.3978,64.45,45,1,1.01,1635214808
kaspiysk,RU,42.8816,42.98,86,90,7.0,1635214818
ancud,CL,-41.8697,51.42,96,100,14.81,1635214829
ushtobe,KZ,45.2514,46.11,41,2,7.72,1635214839
margate,GB,51.3813,51.51,91,13,1.99,1635214647
langfang,CN,39.5097,64.65,25,18,13.6,1635214860
tongren,CN,27.7172,59.74,73,99,1.99,1635214870
nanyang,CN,32.9947,63.1,57,98,5.91,1635214880
acapulco,MX,16.8634,76.82,94,40,0.0,1635214885
bilibino,RU,68.0546,-9.38,94,92,1.14,1635214901
hasaki,JP,35.7333,62.89,82,100,33.49,1635214911
rock sound,BS,24.9,82.69,75,100,12.39,1635214922
tawang,IN,27.5833,50.32,59,2,2.62,1635214932
camopi,GF,3.1655,72.81,99,100,2.26,1635214943
north myrtle beach,US,33.816,73.06,93,1,1.99,1635214953
santiago,CL,-33.4569,69.85,43,10,3.0,1635214893
shellbrook,CA,53.2168,45.63,55,100,16.35,1635214974
tailai,CN,46.3833,52.02,41,85,13.96,1635214984
los llanos de aridane,ES,28.6585,65.95,81,75,5.99,1635214995
northam,GB,51.0333,56.08,89,100,10.4,1635215005
lavrentiya,RU,65.5833,17.69,76,100,9.35,1635215015
lao cai,VN,22.4833,73.0,77,65,2.21,1635214746
darhan,MN,49.4867,39.13,58,15,10.29,1635214747
kapoeta,SS,4.7717,79.97,49,73,12.86,1635215046
chipinge,ZW,-20.1883,60.4,92,91,4.25,1635215057
port-gentil,GA,-0.7193,76.12,88,100,6.02,1635215067
svetlyy,RU,54.675,41.05,70,100,12.1,1635215077
wagar,SD,16.1525,82.22,60,40,5.75,1635215098
